index,label,label_name,prompt,entropy,top1_prob,margin,score_entropy,score_neg_top1_prob,score_neg_margin
0,0,known,"请回答下面查询。
对象：火星
属性：所属恒星
答案：",0.07070492208003998,0.9877225160598755,0.9762233225628734,0.07070492208003998,-0.9877225160598755,-0.9762233225628734
1,1,unknown,"请回答下面查询。
对象：图灵奖
属性：常见病原体
答案：",0.5894536972045898,0.8299746513366699,0.6834754198789597,0.5894536972045898,-0.8299746513366699,-0.6834754198789597
2,1,unknown,"请回答下面查询。
对象：毕加索
属性：所属纲
答案：",0.3133578598499298,0.9444143176078796,0.9172014500945807,0.3133578598499298,-0.9444143176078796,-0.9172014500945807
3,1,unknown,"请回答下面查询。
对象：金球奖
属性：常见病原体
答案：",0.4216585159301758,0.9029783010482788,0.8354903906583786,0.4216585159301758,-0.9029783010482788,-0.8354903906583786
4,1,unknown,"请回答下面查询。
对象：伦勃朗
属性：所属纲
答案：",0.06730473786592484,0.9906513690948486,0.9862738256342709,0.06730473786592484,-0.9906513690948486,-0.9862738256342709
5,1,unknown,"请回答下面查询。
对象：Django
属性：所在国家
答案：",0.10044506937265396,0.9844421744346619,0.975233000703156,0.10044506937265396,-0.9844421744346619,-0.975233000703156
6,1,unknown,"请回答下面查询。
对象：悉尼
属性：导演
答案：",0.022094041109085083,0.9978688955307007,0.9974457347416319,0.022094041109085083,-0.9978688955307007,-0.9974457347416319
7,0,known,"请回答下面查询。
对象：上海
属性：所在国家
答案：",0.005498349200934172,0.999427080154419,0.9990530589420814,0.005498349200934172,-0.999427080154419,-0.9990530589420814
8,0,known,"请回答下面查询。
对象：地球
属性：所属恒星
答案：",0.0333731435239315,0.9947218894958496,0.989502068143338,0.0333731435239315,-0.9947218894958496,-0.989502068143338
9,0,known,"请回答下面查询。
对象：特斯拉公司
属性：创始人
答案：",0.05287091061472893,0.9923047423362732,0.9872578117065132,0.05287091061472893,-0.9923047423362732,-0.9872578117065132
10,0,known,"请回答下面查询。
对象：TensorFlow
属性：主要编程语言
答案：",0.3771946132183075,0.9141767024993896,0.8707467690110207,0.3771946132183075,-0.9141767024993896,-0.8707467690110207
11,0,known,"请回答下面查询。
对象：麻疹
属性：常见病原体
答案：",0.003638360183686018,0.9996455907821655,0.9993675810692366,0.003638360183686018,-0.9996455907821655,-0.9993675810692366
12,0,known,"请回答下面查询。
对象：Angular
属性：主要编程语言
答案：",1.3333625793457031,0.5496557950973511,0.3739752471446991,1.3333625793457031,-0.5496557950973511,-0.3739752471446991
