index,label,label_name,prompt,entropy,top1_prob,margin,score_entropy,score_neg_top1_prob,score_neg_margin
0,0,known,"请回答下面查询。
对象：Smalltalk
属性：主要设计者
答案：",2.3013296127319336,0.45049136877059937,0.29480570554733276,2.3013296127319336,-0.45049136877059937,-0.29480570554733276
1,1,unknown,"请回答下面查询。
对象：唐古拉山主峰
属性：主要设计者
答案：",0.08115150034427643,0.9866272807121277,0.9749599546194077,0.08115150034427643,-0.9866272807121277,-0.9749599546194077
2,0,known,"请回答下面查询。
对象：电流
属性：国际单位
答案：",0.6839702129364014,0.7023413777351379,0.41856980323791504,0.6839702129364014,-0.7023413777351379,-0.41856980323791504
3,0,known,"请回答下面查询。
对象：功率
属性：国际单位
答案：",0.7355243563652039,0.5198203325271606,0.046518534421920776,0.7355243563652039,-0.5198203325271606,-0.046518534421920776
4,1,unknown,"请回答下面查询。
对象：氧
属性：主要流经大洲
答案：",0.06582854688167572,0.9907779693603516,0.9858938427641988,0.06582854688167572,-0.9907779693603516,-0.9858938427641988
5,1,unknown,"请回答下面查询。
对象：放射性活度
属性：出生国家
答案：",0.688372015953064,0.874775230884552,0.8487688489258289,0.688372015953064,-0.874775230884552,-0.8487688489258289
6,0,known,"请回答下面查询。
对象：甲烷
属性：化学式
答案：",0.6849645972251892,0.662837028503418,0.33470892906188965,0.6849645972251892,-0.662837028503418,-0.33470892906188965
7,0,known,"请回答下面查询。
对象：联合国儿童基金会
属性：总部所在地
答案：",0.28203433752059937,0.9469873309135437,0.9213535580784082,0.28203433752059937,-0.9469873309135437,-0.9213535580784082
8,0,known,"请回答下面查询。
对象：体积
属性：国际单位
答案：",0.1301945149898529,0.9780284762382507,0.9653261033818126,0.1301945149898529,-0.9780284762382507,-0.9653261033818126
9,0,known,"请回答下面查询。
对象：氯
属性：化学符号
答案：",0.11113949120044708,0.9768714308738708,0.9538976158946753,0.11113949120044708,-0.9768714308738708,-0.9538976158946753
10,0,known,"请回答下面查询。
对象：《变形记》
属性：作者
答案：",0.5847156643867493,0.8276508450508118,0.6882516890764236,0.5847156643867493,-0.8276508450508118,-0.6882516890764236
11,1,unknown,"请回答下面查询。
对象：印度河
属性：化学符号
答案：",0.006156492047011852,0.9994421601295471,0.9992570034228265,0.006156492047011852,-0.9994421601295471,-0.9992570034228265
12,1,unknown,"请回答下面查询。
对象：干城章嘉峰
属性：主要设计者
答案：",0.16332414746284485,0.9786481857299805,0.9735923297703266,0.16332414746284485,-0.9786481857299805,-0.9735923297703266
13,0,known,"请回答下面查询。
对象：Python
属性：主要设计者
答案：",0.47775211930274963,0.8373837471008301,0.6800440102815628,0.47775211930274963,-0.8373837471008301,-0.6800440102815628
14,1,unknown,"请回答下面查询。
对象：世界自然基金会
属性：化学式
答案：",0.08954766392707825,0.9862422943115234,0.9783508665859699,0.08954766392707825,-0.9862422943115234,-0.9783508665859699
