layer,name,AUROC_mean,AUROC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std
0,group_entity_hidden_layer_0,0.5,0.0,0.5,0.0,0.6666666666666666,0.0
1,group_entity_hidden_layer_1,0.9645555555555555,0.010525688740257793,0.9066666666666666,0.022607766610417544,0.9053769628313129,0.024402326206581115
2,group_entity_hidden_layer_2,0.975,0.01654772372545018,0.9316666666666666,0.02260776661041756,0.9320232951937838,0.022593241456890685
3,group_entity_hidden_layer_3,0.9674444444444443,0.015065085134955518,0.915,0.028577380332470387,0.9163232609424303,0.02812572620071997
4,group_entity_hidden_layer_4,0.9732777777777779,0.014645397035279992,0.9266666666666665,0.006236095644623249,0.9263682365549938,0.006092830783022237
5,group_entity_hidden_layer_5,0.9867777777777779,0.0057697593933187675,0.9483333333333335,0.022607766610417565,0.9483395281116327,0.023256690054987712
6,group_entity_hidden_layer_6,0.9966111111111111,0.0020742394113993793,0.9683333333333332,0.01224744871391588,0.9684811900644285,0.012132149072020216
7,group_entity_hidden_layer_7,0.9992777777777778,0.00033333333333329294,0.9816666666666667,0.006236095644623249,0.981761256189239,0.006246726691450296
8,group_entity_hidden_layer_8,0.999388888888889,0.0007114582486036813,0.9866666666666667,0.006666666666666692,0.9866928372758126,0.006724724115288488
9,group_entity_hidden_layer_9,0.9999444444444444,0.00011111111111112848,0.9916666666666666,0.005270462766947316,0.991651491805575,0.005360780972064417
10,group_entity_hidden_layer_10,1.0,0.0,0.9983333333333334,0.0033333333333333214,0.9983193277310924,0.003361344537815114
11,group_entity_hidden_layer_11,0.9999444444444444,0.00011111111111112848,0.9966666666666667,0.006666666666666687,0.9966666666666667,0.006666666666666687
12,group_entity_hidden_layer_12,1.0,0.0,0.9983333333333334,0.0033333333333333214,0.9983471074380166,0.0033057851239669312
13,group_entity_hidden_layer_13,1.0,0.0,0.9983333333333334,0.0033333333333333214,0.9983471074380166,0.0033057851239669312
14,group_entity_hidden_layer_14,1.0,0.0,1.0,0.0,1.0,0.0
15,group_entity_hidden_layer_15,1.0,0.0,1.0,0.0,1.0,0.0
16,group_entity_hidden_layer_16,1.0,0.0,1.0,0.0,1.0,0.0
17,group_entity_hidden_layer_17,1.0,0.0,0.9983333333333334,0.003333333333333322,0.9983471074380166,0.0033057851239669312
18,group_entity_hidden_layer_18,1.0,0.0,1.0,0.0,1.0,0.0
19,group_entity_hidden_layer_19,1.0,0.0,0.9983333333333334,0.003333333333333322,0.9983471074380166,0.0033057851239669312
20,group_entity_hidden_layer_20,1.0,0.0,0.9966666666666667,0.006666666666666687,0.9967213114754099,0.006557377049180336
21,group_entity_hidden_layer_21,1.0,0.0,0.9966666666666667,0.006666666666666687,0.9967213114754099,0.006557377049180336
22,group_entity_hidden_layer_22,1.0,0.0,0.9966666666666667,0.006666666666666687,0.9967213114754099,0.006557377049180336
23,group_entity_hidden_layer_23,1.0,0.0,0.9966666666666667,0.006666666666666687,0.9967213114754099,0.006557377049180336
24,group_entity_hidden_layer_24,1.0,0.0,0.9966666666666667,0.006666666666666687,0.9967213114754099,0.006557377049180336
25,group_entity_hidden_layer_25,1.0,0.0,0.9949999999999999,0.006666666666666682,0.9950406392065023,0.0065785278827172455
26,group_entity_hidden_layer_26,1.0,0.0,0.9949999999999999,0.006666666666666682,0.9950406392065023,0.0065785278827172455
27,group_entity_hidden_layer_27,1.0,0.0,0.9933333333333334,0.009718253158075509,0.9934412789506046,0.009491220896053655
28,group_entity_hidden_layer_28,1.0,0.0,0.9949999999999999,0.004082482904638616,0.9949857629002015,0.004094421591513704
