feature,coef,direction
》的首,1.4385506771635672,towards_unknown_label_1
》的首都,1.4385506771635672,towards_unknown_label_1
》的首都是,1.4385506771635672,towards_unknown_label_1
河的化,1.3922968157248208,towards_unknown_label_1
河的化学,1.3922968157248208,towards_unknown_label_1
河的化学符,1.3922968157248208,towards_unknown_label_1
山的主要设,0.8479758436004654,towards_unknown_label_1
山的主,0.8479758436004654,towards_unknown_label_1
山的主要,0.8479758436004654,towards_unknown_label_1
峰的主,0.7911413780007183,towards_unknown_label_1
峰的主要设,0.7911413780007183,towards_unknown_label_1
峰的主要,0.7911413780007183,towards_unknown_label_1
织的化学式,0.663423974692881,towards_unknown_label_1
组织的化学,0.663423974692881,towards_unknown_label_1
组织的化,0.663423974692881,towards_unknown_label_1
织的化,0.663423974692881,towards_unknown_label_1
织的化学,0.663423974692881,towards_unknown_label_1
度的出,0.5921028497483851,towards_unknown_label_1
度的出生国,0.5921028497483851,towards_unknown_label_1
度的出生,0.5921028497483851,towards_unknown_label_1
量的出生国,0.49685320852821113,towards_unknown_label_1
量的出,0.49685320852821113,towards_unknown_label_1
量的出生,0.49685320852821113,towards_unknown_label_1
国的作者是,0.4435737924059748,towards_unknown_label_1
国的作者,0.4435737924059748,towards_unknown_label_1
国的作,0.4435737924059748,towards_unknown_label_1
气的总部,0.37085538302814075,towards_unknown_label_1
气的总,0.37085538302814075,towards_unknown_label_1
气的总部所,0.37085538302814075,towards_unknown_label_1
会的化学式,0.343720758717455,towards_unknown_label_1
会的化学,0.343720758717455,towards_unknown_label_1
会的化,0.343720758717455,towards_unknown_label_1
t的所在,0.32243959658086985,towards_unknown_label_1
t的所,0.32243959658086985,towards_unknown_label_1
t的所在山,0.32243959658086985,towards_unknown_label_1
盟的化学,0.31858730156040316,towards_unknown_label_1
盟的化学式,0.31858730156040316,towards_unknown_label_1
盟的化,0.31858730156040316,towards_unknown_label_1
尔的国,0.3164364223247926,towards_unknown_label_1
尔的国际单,0.3164364223247926,towards_unknown_label_1
尔的国际,0.3164364223247926,towards_unknown_label_1
酸的总,0.30820035108584337,towards_unknown_label_1
酸的总部所,0.30820035108584337,towards_unknown_label_1
酸的总部,0.30820035108584337,towards_unknown_label_1
a的所在,0.29517587006196794,towards_unknown_label_1
a的所在山,0.29517587006196794,towards_unknown_label_1
a的所,0.29517587006196794,towards_unknown_label_1
钠的总,0.2906580134815827,towards_unknown_label_1
钠的总部所,0.2906580134815827,towards_unknown_label_1
钠的总部,0.2906580134815827,towards_unknown_label_1
》的作,-1.4359237988850029,towards_known_label_0
》的作者,-1.4359237988850029,towards_known_label_0
》的作者是,-1.4359237988850029,towards_known_label_0
河的主,-1.3717163894072382,towards_known_label_0
河的主要流,-1.3717163894072382,towards_known_label_0
河的主要,-1.3717163894072382,towards_known_label_0
山的所在,-0.8587777366606945,towards_known_label_0
山的所在山,-0.8587777366606945,towards_known_label_0
山的所,-0.8587777366606945,towards_known_label_0
峰的所在,-0.7999895466069941,towards_known_label_0
峰的所,-0.7999895466069941,towards_known_label_0
峰的所在山,-0.7999895466069941,towards_known_label_0
织的总部所,-0.6579857498160003,towards_known_label_0
织的总,-0.6579857498160003,towards_known_label_0
组织的总,-0.6579857498160003,towards_known_label_0
组织的总部,-0.6579857498160003,towards_known_label_0
织的总部,-0.6579857498160003,towards_known_label_0
度的国际,-0.5928756660233653,towards_known_label_0
度的国际单,-0.5928756660233653,towards_known_label_0
度的国,-0.5928756660233653,towards_known_label_0
量的国际单,-0.4972944941018256,towards_known_label_0
量的国,-0.4972944941018256,towards_known_label_0
量的国际,-0.4972944941018256,towards_known_label_0
国的首,-0.43842058813136997,towards_known_label_0
国的首都,-0.43842058813136997,towards_known_label_0
国的首都是,-0.43842058813136997,towards_known_label_0
气的化学,-0.3819128313456213,towards_known_label_0
气的化,-0.3819128313456213,towards_known_label_0
气的化学式,-0.3819128313456213,towards_known_label_0
钠的化学,-0.363165134033793,towards_known_label_0
钠的化,-0.363165134033793,towards_known_label_0
会的总部,-0.3384022807755867,towards_known_label_0
会的总部所,-0.3384022807755867,towards_known_label_0
会的总,-0.3384022807755867,towards_known_label_0
t的主要设,-0.32340356248309826,towards_known_label_0
t的主,-0.32340356248309826,towards_known_label_0
t的主要,-0.32340356248309826,towards_known_label_0
酸的化,-0.31795276380230886,towards_known_label_0
酸的化学,-0.31795276380230886,towards_known_label_0
酸的化学式,-0.31795276380230886,towards_known_label_0
尔的出生国,-0.31646544701243645,towards_known_label_0
尔的出,-0.31646544701243645,towards_known_label_0
尔的出生,-0.31646544701243645,towards_known_label_0
盟的总部所,-0.31133801368411895,towards_known_label_0
盟的总,-0.31133801368411895,towards_known_label_0
盟的总部,-0.31133801368411895,towards_known_label_0
a的主要设,-0.2959896501892374,towards_known_label_0
a的主,-0.2959896501892374,towards_known_label_0
a的主要,-0.2959896501892374,towards_known_label_0
钠的化学式,-0.29518987824397835,towards_known_label_0
