id,label,label_name,category,entity,relation,prompt,hidden_score,length_score,tfidf_score,entropy_score,neg_top1_prob_score,neg_margin_score
ood_0000,0,known_or_low_risk,planet,火星,所属恒星,"请回答下面查询。
对象：火星
属性：所属恒星
答案：",0.9999978031542018,0.5,0.4814747535088,4.374116897583008,-0.1752042323350906,-0.0460167378187179
ood_0001,1,unknown_or_high_risk,award,图灵奖,常见病原体,"请回答下面查询。
对象：图灵奖
属性：常见病原体
答案：",0.9999969818303269,0.5,0.49209453554025645,4.620266914367676,-0.2908443808555603,-0.2119507268071174
ood_0002,1,unknown_or_high_risk,artist,毕加索,所属纲,"请回答下面查询。
对象：毕加索
属性：所属纲
答案：",0.9735030063842107,0.5,0.4814747535088,4.385909080505371,-0.1768795847892761,-0.0946229323744773
ood_0003,1,unknown_or_high_risk,award,金球奖,常见病原体,"请回答下面查询。
对象：金球奖
属性：常见病原体
答案：",0.9999974569612748,0.5,0.4957184187708407,5.103415012359619,-0.1560657322406768,-0.0999823361635208
ood_0004,1,unknown_or_high_risk,artist,伦勃朗,所属纲,"请回答下面查询。
对象：伦勃朗
属性：所属纲
答案：",0.9881566712160738,0.5,0.484704090711843,5.262621879577637,-0.0896456614136695,-0.0020766407251358
ood_0005,1,unknown_or_high_risk,software_framework,Django,所在国家,"请回答下面查询。
对象：Django
属性：所在国家
答案：",0.23220829893539285,0.5,0.49735051867994273,2.8515188694000244,-0.3515113294124603,-0.2443064302206039
ood_0006,1,unknown_or_high_risk,city,悉尼,导演,"请回答下面查询。
对象：悉尼
属性：导演
答案：",0.3718321313453668,0.5,0.4969763243085726,5.430593967437744,-0.065659761428833,-0.007260762155056
ood_0007,0,known_or_low_risk,city,上海,所在国家,"请回答下面查询。
对象：上海
属性：所在国家
答案：",0.0019970616976489526,0.5,0.49366973256898367,1.028193473815918,-0.8190284967422485,-0.7762945368885994
ood_0008,0,known_or_low_risk,planet,地球,所属恒星,"请回答下面查询。
对象：地球
属性：所属恒星
答案：",0.9999739516408767,0.5,0.4814747535088,3.7018814086914062,-0.2548972070217132,-0.0713016241788864
ood_0009,0,known_or_low_risk,company,特斯拉公司,创始人,"请回答下面查询。
对象：特斯拉公司
属性：创始人
答案：",0.0061934077011100395,0.5,0.4983236974459766,1.3182179927825928,-0.7939468026161194,-0.7521966136991978
ood_0010,0,known_or_low_risk,software_framework,TensorFlow,主要编程语言,"请回答下面查询。
对象：TensorFlow
属性：主要编程语言
答案：",2.6324080093841616e-08,0.5,0.5124509948869725,0.6794256567955017,-0.8764841556549072,-0.8385711684823036
ood_0011,0,known_or_low_risk,disease,麻疹,常见病原体,"请回答下面查询。
对象：麻疹
属性：常见病原体
答案：",0.9927973649524052,0.5,0.49209453554025645,1.4100662469863892,-0.7681015133857727,-0.7050518989562988
ood_0012,0,known_or_low_risk,software_framework,Angular,主要编程语言,"请回答下面查询。
对象：Angular
属性：主要编程语言
答案：",4.5145139846971415e-07,0.5,0.5121023978723517,1.332514762878418,-0.7463666796684265,-0.6939635165035725
ood_0013,0,known_or_low_risk,planet,谷神星,所属恒星,"请回答下面查询。
对象：谷神星
属性：所属恒星
答案：",0.9947408897795339,0.5,0.4814747535088,5.070712089538574,-0.2557117938995361,-0.1977562643587589
ood_0014,0,known_or_low_risk,university,墨尔本大学,所在国家,"请回答下面查询。
对象：墨尔本大学
属性：所在国家
答案：",1.8468546598078502e-05,0.5,0.49579843419164904,0.2697165608406067,-0.9505333304405212,-0.920918557792902
ood_0015,1,unknown_or_high_risk,disease,疟疾,颁发机构,"请回答下面查询。
对象：疟疾
属性：颁发机构
答案：",0.9997959747270808,0.5,0.496756177453749,2.452155113220215,-0.5073246955871582,-0.4282987490296364
ood_0016,1,unknown_or_high_risk,company,特斯拉公司,所属恒星,"请回答下面查询。
对象：特斯拉公司
属性：所属恒星
答案：",0.9999309869975626,0.5,0.4920618749980763,4.570957183837891,-0.4119355678558349,-0.388695752248168
ood_0017,0,known_or_low_risk,software_framework,Spring,主要编程语言,"请回答下面查询。
对象：Spring
属性：主要编程语言
答案：",2.3314075340333617e-07,0.5,0.5092708040817252,1.192222237586975,-0.6670817732810974,-0.4538696259260177
ood_0018,0,known_or_low_risk,film,《教父》,导演,"请回答下面查询。
对象：《教父》
属性：导演
答案：",0.0001100048955628645,0.5,0.49425503872198284,3.830580711364746,-0.1817949116230011,-0.0391024500131607
ood_0019,1,unknown_or_high_risk,city,上海,导演,"请回答下面查询。
对象：上海
属性：导演
答案：",0.7120164003250061,0.5,0.49209453554025645,5.00779914855957,-0.0750705525279045,-0.017959889024496
ood_0020,1,unknown_or_high_risk,university,墨尔本大学,主要编程语言,"请回答下面查询。
对象：墨尔本大学
属性：主要编程语言
答案：",0.058104211506057976,0.5,0.5139629706481689,1.2764098644256592,-0.651749849319458,-0.4529773890972137
ood_0021,1,unknown_or_high_risk,city,开罗,导演,"请回答下面查询。
对象：开罗
属性：导演
答案：",0.1918535403437981,0.5,0.49209453554025645,5.073665618896484,-0.0968835428357124,-0.0196412503719329
ood_0022,0,known_or_low_risk,company,微软,创始人,"请回答下面查询。
对象：微软
属性：创始人
答案：",0.004111057198031157,0.5,0.4945051537610555,3.891276597976685,-0.1580472439527511,-0.0779528021812439
ood_0023,0,known_or_low_risk,software_framework,Vue,主要编程语言,"请回答下面查询。
对象：Vue
属性：主要编程语言
答案：",9.45736075686518e-08,0.5,0.5137431609538684,0.985637664794922,-0.8022138476371765,-0.7122079581022263
ood_0024,0,known_or_low_risk,award,图灵奖,颁发机构,"请回答下面查询。
对象：图灵奖
属性：颁发机构
答案：",0.0009110037157911351,0.5,0.496756177453749,2.5502285957336426,-0.2392537891864776,-0.0499884635210037
ood_0025,0,known_or_low_risk,disease,新冠感染,常见病原体,"请回答下面查询。
对象：新冠感染
属性：常见病原体
答案：",0.9897677342073401,0.5,0.49209453554025645,2.9192233085632324,-0.3221685588359833,-0.1470085531473159
ood_0026,1,unknown_or_high_risk,company,亚马逊,所属恒星,"请回答下面查询。
对象：亚马逊
属性：所属恒星
答案：",0.9999972102219312,0.5,0.4917435871034458,6.672788619995117,-0.0431032069027423,-0.0084688067436218
ood_0027,0,known_or_low_risk,artist,伦勃朗,代表作品,"请回答下面查询。
对象：伦勃朗
属性：代表作品
答案：",0.9998753606533847,0.5,0.4944520823109639,2.738095283508301,-0.6523137092590332,-0.6318308562040329
ood_0028,1,unknown_or_high_risk,city,纽约,导演,"请回答下面查询。
对象：纽约
属性：导演
答案：",0.40916759904193273,0.5,0.49799968092964036,5.343581676483154,-0.1283841133117675,-0.0889220722019672
ood_0029,0,known_or_low_risk,award,雨果奖,颁发机构,"请回答下面查询。
对象：雨果奖
属性：颁发机构
答案：",0.0018023241605823318,0.5,0.49853514385362496,1.3787943124771118,-0.7399525046348572,-0.671126201748848
ood_0030,1,unknown_or_high_risk,film,《卧虎藏龙》,所在国家,"请回答下面查询。
对象：《卧虎藏龙》
属性：所在国家
答案：",0.11611675881112611,0.5,0.4938289403447823,0.9125272035598756,-0.8635804653167725,-0.8311260305345058
ood_0031,0,known_or_low_risk,software_framework,Flask,主要编程语言,"请回答下面查询。
对象：Flask
属性：主要编程语言
答案：",4.6687898039182385e-07,0.5,0.5100062856839437,0.3753839433193207,-0.9357316493988036,-0.9104025531560184
ood_0032,0,known_or_low_risk,city,悉尼,所在国家,"请回答下面查询。
对象：悉尼
属性：所在国家
答案：",1.804382439014545e-05,0.5,0.4955923363648558,0.1165162548422813,-0.9836694598197936,-0.9768311544321476
ood_0033,0,known_or_low_risk,film,《卧虎藏龙》,导演,"请回答下面查询。
对象：《卧虎藏龙》
属性：导演
答案：",0.004419091589071636,0.5,0.49425503872198284,3.4503183364868164,-0.2067064791917801,-0.0353407859802246
ood_0034,1,unknown_or_high_risk,university,北京大学,主要编程语言,"请回答下面查询。
对象：北京大学
属性：主要编程语言
答案：",0.009011646238997369,0.5,0.5150603994397489,1.7672821283340454,-0.4021878838539123,-0.1342729926109314
ood_0035,1,unknown_or_high_risk,planet,木星,创始人,"请回答下面查询。
对象：木星
属性：创始人
答案：",0.5106316224553114,0.5,0.4945051537610555,3.4557125568389893,-0.3099973201751709,-0.2190754041075706
ood_0036,1,unknown_or_high_risk,planet,水星,创始人,"请回答下面查询。
对象：水星
属性：创始人
答案：",0.7211276485105065,0.5,0.495743287074255,5.146355152130127,-0.0887457132339477,-0.0253220126032829
ood_0037,1,unknown_or_high_risk,award,雨果奖,常见病原体,"请回答下面查询。
对象：雨果奖
属性：常见病原体
答案：",0.9999949181701286,0.5,0.49769692503372204,5.592323303222656,-0.1526574045419693,-0.0956134982407093
ood_0038,0,known_or_low_risk,film,《肖申克的救赎》,导演,"请回答下面查询。
对象：《肖申克的救赎》
属性：导演
答案：",1.1385619348770256e-05,0.5,0.49425503872198284,2.904033660888672,-0.4865224361419678,-0.4206787869334221
ood_0039,0,known_or_low_risk,disease,狂犬病,常见病原体,"请回答下面查询。
对象：狂犬病
属性：常见病原体
答案：",0.973173411664866,0.5,0.49209453554025645,1.439045786857605,-0.7691441774368286,-0.6758363991975784
