id,label,label_name,category,entity,relation,prompt,hidden_score,length_score,tfidf_score,entropy_score,neg_top1_prob_score,neg_margin_score
ood_0000,0,known_or_low_risk,planet,火星,所属恒星,"请回答下面查询。
对象：火星
属性：所属恒星
答案：",4.319543172460351e-05,0.5,0.4784458117517122,0.0707049220800399,-0.9877225160598756,-0.9762233225628734
ood_0001,1,unknown_or_high_risk,award,图灵奖,常见病原体,"请回答下面查询。
对象：图灵奖
属性：常见病原体
答案：",0.9999999693491004,0.5,0.48884833924242826,0.5894536972045898,-0.8299746513366699,-0.6834754198789597
ood_0002,1,unknown_or_high_risk,artist,毕加索,所属纲,"请回答下面查询。
对象：毕加索
属性：所属纲
答案：",0.06776857193528757,0.5,0.4784458117517122,0.3133578598499298,-0.9444143176078796,-0.9172014500945808
ood_0003,1,unknown_or_high_risk,award,金球奖,常见病原体,"请回答下面查询。
对象：金球奖
属性：常见病原体
答案：",0.9999999885660068,0.5,0.49333088927500784,0.4216585159301758,-0.9029783010482788,-0.8354903906583786
ood_0004,1,unknown_or_high_risk,artist,伦勃朗,所属纲,"请回答下面查询。
对象：伦勃朗
属性：所属纲
答案：",0.025383832486537555,0.5,0.48236800971169863,0.0673047378659248,-0.9906513690948486,-0.9862738256342708
ood_0005,1,unknown_or_high_risk,software_framework,Django,所在国家,"请回答下面查询。
对象：Django
属性：所在国家
答案：",3.9563029280377937e-07,0.5,0.49677253625941825,0.1004450693726539,-0.984442174434662,-0.975233000703156
ood_0006,1,unknown_or_high_risk,city,悉尼,导演,"请回答下面查询。
对象：悉尼
属性：导演
答案：",0.999843170630448,0.5,0.49609296997430363,0.022094041109085,-0.9978688955307008,-0.997445734741632
ood_0007,0,known_or_low_risk,city,上海,所在国家,"请回答下面查询。
对象：上海
属性：所在国家
答案：",2.2665228910382742e-05,0.5,0.4915104419559947,0.0054983492009341,-0.999427080154419,-0.9990530589420814
ood_0008,0,known_or_low_risk,planet,地球,所属恒星,"请回答下面查询。
对象：地球
属性：所属恒星
答案：",0.01078403221033896,0.5,0.4784458117517122,0.0333731435239315,-0.9947218894958496,-0.989502068143338
ood_0009,0,known_or_low_risk,company,特斯拉公司,创始人,"请回答下面查询。
对象：特斯拉公司
属性：创始人
答案：",0.10457671971634862,0.5,0.4980867044052739,0.0528709106147289,-0.9923047423362732,-0.9872578117065132
ood_0010,0,known_or_low_risk,software_framework,TensorFlow,主要编程语言,"请回答下面查询。
对象：TensorFlow
属性：主要编程语言
答案：",7.150020795847666e-09,0.5,0.5113971241562336,0.3771946132183075,-0.9141767024993896,-0.8707467690110207
ood_0011,0,known_or_low_risk,disease,麻疹,常见病原体,"请回答下面查询。
对象：麻疹
属性：常见病原体
答案：",0.0027784175850703464,0.5,0.48884833924242826,0.003638360183686,-0.9996455907821656,-0.9993675810692366
ood_0012,0,known_or_low_risk,software_framework,Angular,主要编程语言,"请回答下面查询。
对象：Angular
属性：主要编程语言
答案：",7.518210785042254e-09,0.5,0.511079487193732,1.3333625793457031,-0.5496557950973511,-0.3739752471446991
ood_0013,0,known_or_low_risk,planet,谷神星,所属恒星,"请回答下面查询。
对象：谷神星
属性：所属恒星
答案：",2.58529417793408e-06,0.5,0.4784458117517122,0.4386490285396576,-0.8434647917747498,-0.6874394863843918
ood_0014,0,known_or_low_risk,university,墨尔本大学,所在国家,"请回答下面查询。
对象：墨尔本大学
属性：所在国家
答案：",1.934895480760813e-08,0.5,0.49467276409890654,0.1058497950434684,-0.9786418676376344,-0.957686061039567
