index,label,label_name,prompt,entropy,top1_prob,margin,score_entropy,score_neg_top1_prob,score_neg_margin
0,0,known,"请回答下面查询。
对象：火星
属性：所属恒星
答案：",0.6320731043815613,0.9209847450256348,0.9112980235368013,0.6320731043815613,-0.9209847450256348,-0.9112980235368013
1,1,unknown,"请回答下面查询。
对象：图灵奖
属性：常见病原体
答案：",4.7015252113342285,0.15219302475452423,0.027002453804016113,4.7015252113342285,-0.15219302475452423,-0.027002453804016113
2,1,unknown,"请回答下面查询。
对象：毕加索
属性：所属纲
答案：",3.5017600059509277,0.2897087335586548,0.1069917380809784,3.5017600059509277,-0.2897087335586548,-0.1069917380809784
3,1,unknown,"请回答下面查询。
对象：金球奖
属性：常见病原体
答案：",4.97287130355835,0.1243213340640068,0.04950343072414398,4.97287130355835,-0.1243213340640068,-0.04950343072414398
4,1,unknown,"请回答下面查询。
对象：伦勃朗
属性：所属纲
答案：",4.834273338317871,0.2514125108718872,0.18684443831443787,4.834273338317871,-0.2514125108718872,-0.18684443831443787
5,1,unknown,"请回答下面查询。
对象：Django
属性：所在国家
答案：",0.2922079861164093,0.9631672501564026,0.9508518306538463,0.2922079861164093,-0.9631672501564026,-0.9508518306538463
6,1,unknown,"请回答下面查询。
对象：悉尼
属性：导演
答案：",5.105513095855713,0.04788171127438545,0.001473166048526764,5.105513095855713,-0.04788171127438545,-0.001473166048526764
7,0,known,"请回答下面查询。
对象：上海
属性：所在国家
答案：",1.038513422012329,0.7767047882080078,0.6824798062443733,1.038513422012329,-0.7767047882080078,-0.6824798062443733
8,0,known,"请回答下面查询。
对象：地球
属性：所属恒星
答案：",0.48687729239463806,0.9452840089797974,0.9400447877123952,0.48687729239463806,-0.9452840089797974,-0.9400447877123952
9,0,known,"请回答下面查询。
对象：特斯拉公司
属性：创始人
答案：",3.7944071292877197,0.2601800858974457,0.17026424407958984,3.7944071292877197,-0.2601800858974457,-0.17026424407958984
10,0,known,"请回答下面查询。
对象：TensorFlow
属性：主要编程语言
答案：",0.782450795173645,0.8796547651290894,0.8596037533134222,0.782450795173645,-0.8796547651290894,-0.8596037533134222
11,0,known,"请回答下面查询。
对象：麻疹
属性：常见病原体
答案：",1.7719072103500366,0.701065719127655,0.627173937857151,1.7719072103500366,-0.701065719127655,-0.627173937857151
12,0,known,"请回答下面查询。
对象：Angular
属性：主要编程语言
答案：",0.9631805419921875,0.8565186858177185,0.8420099467039108,0.9631805419921875,-0.8565186858177185,-0.8420099467039108
13,0,known,"请回答下面查询。
对象：谷神星
属性：所属恒星
答案：",1.5126928091049194,0.7840423583984375,0.7398097142577171,1.5126928091049194,-0.7840423583984375,-0.7398097142577171
14,0,known,"请回答下面查询。
对象：墨尔本大学
属性：所在国家
答案：",0.7758334875106812,0.867210328578949,0.8190441764891148,0.7758334875106812,-0.867210328578949,-0.8190441764891148
15,1,unknown,"请回答下面查询。
对象：疟疾
属性：颁发机构
答案：",1.694744348526001,0.749328076839447,0.7145542725920677,1.694744348526001,-0.749328076839447,-0.7145542725920677
