text,label,char_len,token_len
请回答：Smalltalk的主要设计者是什么？,0,23,10
请回答：唐古拉山主峰的主要设计者是什么？,1,20,14
请回答：电流的国际单位是什么？,0,15,9
请回答：功率的国际单位是什么？,0,15,9
请回答：氧的主要流经大洲是什么？,1,16,11
请回答：放射性活度的出生国家是什么？,1,18,12
请回答：甲烷的化学式是什么？,0,14,10
请回答：联合国儿童基金会的总部所在地是什么？,0,22,11
请回答：体积的国际单位是什么？,0,15,9
请回答：氯的化学符号是什么？,0,14,9
请回答：《变形记》的作者是什么？,0,16,11
请回答：印度河的化学符号是什么？,1,16,10
请回答：干城章嘉峰的主要设计者是什么？,1,19,13
请回答：Python的主要设计者是什么？,0,20,9
请回答：世界自然基金会的化学式是什么？,1,19,11
请回答：联合国教科文组织的总部所在地是什么？,0,22,13
请回答：速度的出生国家是什么？,1,15,9
请回答：门捷列夫的出生国家是什么？,0,17,12
请回答：珠穆朗玛峰的所在山脉是什么？,0,18,13
请回答：铅的化学符号是什么？,0,14,9
请回答：维苏威火山的主要设计者是什么？,1,19,12
请回答：功率的出生国家是什么？,1,15,9
请回答：银的主要流经大洲是什么？,1,16,11
请回答：Python的所在山脉是什么？,1,19,9
请回答：勒拿河的主要流经大洲是什么？,0,18,13
请回答：丘吉尔的国际单位是什么？,1,16,11
请回答：黄山的主要设计者是什么？,1,16,9
请回答：硅的主要流经大洲是什么？,1,16,11
请回答：国际标准化组织的总部所在地是什么？,0,21,11
请回答：肯尼亚的作者是什么？,1,14,9
请回答：钾的化学符号是什么？,0,14,9
请回答：尼罗河的化学符号是什么？,1,16,11
请回答：钠的化学符号是什么？,0,14,9
请回答：多瑙河的化学符号是什么？,1,16,11
请回答：墨西哥的首都是什么？,0,14,9
请回答：莫扎特的国际单位是什么？,1,16,11
请回答：汞的主要流经大洲是什么？,1,16,11
请回答：C++的所在山脉是什么？,1,16,10
请回答：长度的国际单位是什么？,0,15,9
请回答：越南的作者是什么？,1,13,8
请回答：盐酸的化学式是什么？,0,14,10
请回答：频率的出生国家是什么？,1,15,9
请回答：《百年孤独》的作者是什么？,0,17,11
请回答：能量的出生国家是什么？,1,15,9
请回答：恒河的化学符号是什么？,1,15,10
请回答：碳酸钠的总部所在地是什么？,1,17,10
请回答：乙醇的化学式是什么？,0,14,10
请回答：氦的主要流经大洲是什么？,1,16,11
请回答：氯的主要流经大洲是什么？,1,16,11
请回答：铝的主要流经大洲是什么？,1,16,11
请回答：压强的国际单位是什么？,0,15,10
请回答：尼罗河的主要流经大洲是什么？,0,18,13
请回答：弗洛伊德的国际单位是什么？,1,17,12
请回答：额尔齐斯河的化学符号是什么？,1,18,13
请回答：世界银行的总部所在地是什么？,0,18,10
请回答：亚洲开发银行的总部所在地是什么？,0,20,11
请回答：康德的出生国家是什么？,0,15,10
请回答：罗讷河的化学符号是什么？,1,16,11
请回答：《一九八四》的首都是什么？,1,17,14
请回答：达芬奇的国际单位是什么？,1,16,11
请回答：钙的主要流经大洲是什么？,1,16,11
请回答：马纳斯卢峰的所在山脉是什么？,0,18,12
请回答：《浮士德》的作者是什么？,0,16,12
请回答：哥白尼的出生国家是什么？,0,16,11
请回答：Scala的主要设计者是什么？,0,19,9
请回答：世界卫生组织的总部所在地是什么？,0,20,11
请回答：《雷雨》的首都是什么？,1,15,12
请回答：居里夫人的出生国家是什么？,0,17,11
请回答：《神曲》的作者是什么？,0,15,11
请回答：Erlang的主要设计者是什么？,0,20,11
请回答：华山的主要设计者是什么？,1,16,10
