feature,coef,direction
》的首,1.5757062069000247,towards_unknown_label_1
》的首都是,1.5757062069000247,towards_unknown_label_1
》的首都,1.5757062069000247,towards_unknown_label_1
河的化学符,1.568577163307875,towards_unknown_label_1
河的化学,1.568577163307875,towards_unknown_label_1
河的化,1.568577163307875,towards_unknown_label_1
山的主,0.9057559417229611,towards_unknown_label_1
山的主要,0.9057559417229611,towards_unknown_label_1
山的主要设,0.9057559417229611,towards_unknown_label_1
峰的主要,0.8212544592810731,towards_unknown_label_1
峰的主要设,0.8212544592810731,towards_unknown_label_1
峰的主,0.8212544592810731,towards_unknown_label_1
织的化,0.6931911730944359,towards_unknown_label_1
织的化学,0.6931911730944359,towards_unknown_label_1
组织的化,0.6931911730944359,towards_unknown_label_1
组织的化学,0.6931911730944359,towards_unknown_label_1
织的化学式,0.6931911730944359,towards_unknown_label_1
度的出,0.6332915881874752,towards_unknown_label_1
度的出生国,0.6332915881874752,towards_unknown_label_1
度的出生,0.6332915881874752,towards_unknown_label_1
量的出,0.5417336932466322,towards_unknown_label_1
量的出生国,0.5417336932466322,towards_unknown_label_1
量的出生,0.5417336932466322,towards_unknown_label_1
国的作,0.4851850779091112,towards_unknown_label_1
国的作者是,0.4851850779091112,towards_unknown_label_1
国的作者,0.4851850779091112,towards_unknown_label_1
气的总,0.3927926732185143,towards_unknown_label_1
气的总部所,0.3927926732185143,towards_unknown_label_1
气的总部,0.3927926732185143,towards_unknown_label_1
会的化学,0.3478061081820362,towards_unknown_label_1
》的作,-1.5695115304769764,towards_known_label_0
》的作者,-1.5695115304769764,towards_known_label_0
》的作者是,-1.5695115304769764,towards_known_label_0
河的主,-1.5367577254589486,towards_known_label_0
河的主要,-1.5367577254589486,towards_known_label_0
河的主要流,-1.5367577254589486,towards_known_label_0
山的所在,-0.9202341806454928,towards_known_label_0
山的所,-0.9202341806454928,towards_known_label_0
山的所在山,-0.9202341806454928,towards_known_label_0
峰的所在山,-0.8315533799337974,towards_known_label_0
峰的所,-0.8315533799337974,towards_known_label_0
峰的所在,-0.8315533799337974,towards_known_label_0
织的总,-0.6846868304944637,towards_known_label_0
织的总部,-0.6846868304944637,towards_known_label_0
组织的总,-0.6846868304944637,towards_known_label_0
组织的总部,-0.6846868304944637,towards_known_label_0
织的总部所,-0.6846868304944637,towards_known_label_0
度的国际单,-0.6329036085822343,towards_known_label_0
度的国际,-0.6329036085822343,towards_known_label_0
度的国,-0.6329036085822343,towards_known_label_0
量的国际单,-0.5411985500896158,towards_known_label_0
量的国际,-0.5411985500896158,towards_known_label_0
量的国,-0.5411985500896158,towards_known_label_0
国的首都,-0.47690997125972223,towards_known_label_0
国的首都是,-0.47690997125972223,towards_known_label_0
国的首,-0.47690997125972223,towards_known_label_0
气的化学式,-0.4099074139515334,towards_known_label_0
气的化学,-0.4099074139515334,towards_known_label_0
气的化,-0.4099074139515334,towards_known_label_0
钠的化学,-0.37919916285718336,towards_known_label_0
