id,prompt,label,label_name,type,category,entity,relation,model_name,generation_do_sample,generation_temperature,generation_top_p,max_new_tokens,model_answer,model_answer_raw,prompt_token_count,answer_token_count,behavior_label,notes,auto_behavior_label,auto_behavior_notes,final_behavior_label,label_source,hidden_risk_score_oof,entropy_score,neg_top1_prob_score,neg_margin_score,high_risk_behavior,answered_without_refusal
ctrlv4_0000,"请回答下面查询。
对象：Smalltalk
属性：主要设计者
答案：",0,known_or_low_risk,known_controlled_v4,programming_language,Smalltalk,主要设计者,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,Alan Kay,"Alan Kay

解释：Smalltalk是由美国斯坦福大学的计算机科学家Alan Kay在1972年开发的一种面向对象编程语言。他被认为是",18,32,correct,answer matched answer-key alias,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,correct,manual,5.3007236e-05,2.7901883125305176,-0.3712789416313171,-0.1563991755247116,0,1
ctrlv4_0001,"请回答下面查询。
对象：唐古拉山主峰
属性：主要设计者
答案：",1,unknown_or_high_risk,unknown_controlled_v4,mountain,唐古拉山主峰,主要设计者,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,无,"无

解释：唐古拉山主峰没有明确的设计师。它是由地质作用形成的，而不是人为设计的。因此，无法确定它的主要",22,32,hallucination,high-risk mismatched entity-relation query received a specific answer,hallucination,auto: high-risk entity-relation query received a specific answer,hallucination,manual,0.9999953,5.737089157104492,-0.1088274866342544,-0.0743148177862167,1,1
ctrlv4_0002,"请回答下面查询。
对象：电流
属性：国际单位
答案：",0,known_or_low_risk,known_controlled_v4,physical_quantity,电流,国际单位,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,安培,"安培

解释：安培是电荷流过的单位，是国际单位制中的基本单位之一。1安培等于每秒通过导体",16,32,correct,answer matched answer-key alias,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,correct,manual,4.7373047e-05,0.3685783743858337,-0.9535727500915528,-0.9424711335450412,0,1
ctrlv4_0003,"请回答下面查询。
对象：功率
属性：国际单位
答案：",0,known_or_low_risk,known_controlled_v4,physical_quantity,功率,国际单位,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,瓦特,"瓦特

解释：瓦特是功率的国际单位。1瓦特等于1焦耳/秒，是衡量物体做功快慢的物理",16,32,correct,answer matched answer-key alias,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,correct,manual,3.538382e-06,0.7510429620742798,-0.8906995058059692,-0.8748876955360174,0,1
ctrlv4_0004,"请回答下面查询。
对象：氧
属性：主要流经大洲
答案：",1,unknown_or_high_risk,unknown_controlled_v4,element,氧,主要流经大洲,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,非洲,"非洲

解释：氧气是地球大气中含量最多的气体，占总体积的21%。它主要通过海洋和陆地上的植物进行循环",19,32,hallucination,high-risk mismatched entity-relation query received a specific answer,hallucination,auto: high-risk entity-relation query received a specific answer,hallucination,manual,0.999142,2.059709072113037,-0.5091622471809387,-0.3586541712284088,1,1
ctrlv4_0005,"请回答下面查询。
对象：放射性活度
属性：出生国家
答案：",1,unknown_or_high_risk,unknown_controlled_v4,physical_quantity,放射性活度,出生国家,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,美国,"美国

放射性活度是1945年在美国内华达州的富兰克林·斯科特·格罗夫纳",19,32,hallucination,high-risk mismatched entity-relation query received a specific answer,hallucination,auto: high-risk entity-relation query received a specific answer,hallucination,manual,0.99997956,3.1893465518951416,-0.5084851384162903,-0.459304578602314,1,1
ctrlv4_0006,"请回答下面查询。
对象：甲烷
属性：化学式
答案：",0,known_or_low_risk,known_controlled_v4,chemical_compound,甲烷,化学式,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,CH4,"CH4

对象：甲烷
属性：分子量
答案：16.042

对象：甲烷
属性：用途
答案",17,32,correct,answer matched answer-key alias,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,correct,manual,1.1241412e-05,0.5506688356399536,-0.9183116555213928,-0.8986477088183165,0,1
ctrlv4_0007,"请回答下面查询。
对象：联合国儿童基金会
属性：总部所在地
答案：",0,known_or_low_risk,known_controlled_v4,organization,联合国儿童基金会,总部所在地,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,纽约市,"纽约市

这个对象的属性值为：纽约市。 该对象是联合国儿童基金会，其总部位于纽约市。

对象：联合国儿童基金会",18,32,correct,answer matched answer-key alias,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,correct,manual,0.0009225155,1.8616167306900024,-0.63290935754776,-0.5229262113571167,0,1
ctrlv4_0008,"请回答下面查询。
对象：体积
属性：国际单位
答案：",0,known_or_low_risk,known_controlled_v4,physical_quantity,体积,国际单位,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,立方米,"立方米

解释：体积是度量物体所占空间大小的物理量，通常用立方米(m³)作为国际单位。1立方米等于10",16,32,correct,answer matched answer-key alias,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,correct,manual,1.7928138e-05,1.533287763595581,-0.6815046668052673,-0.5270457565784454,0,1
ctrlv4_0009,"请回答下面查询。
对象：氯
属性：化学符号
答案：",0,known_or_low_risk,known_controlled_v4,element,氯,化学符号,C:\Users\huzhe\.cache\huggingface\hub\models--Qwen--Qwen2.5-1.5B-Instruct\snapshots\989aa7980e4cf806f80c7fef2b1adb7bc71aa306,False,,,32,Cl,"Cl

氯的化学符号是Cl。它是地壳中含量第二多的元素，仅次于氧。在水溶液中，它通常以离子形式",16,32,correct,answer matched answer-key alias,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,correct,manual,0.0012136713,0.8482555747032166,-0.8845880031585693,-0.8660849742591381,0,1
