layer,name,AUROC_mean,AUROC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std
0,group_entity_hidden_layer_0,0.5,0.0,0.5,0.0,0.6666666666666666,0.0
1,group_entity_hidden_layer_1,0.9404999999999999,0.01476189622802279,0.9033333333333335,0.015456030825826177,0.9044670540800535,0.016017233763265616
2,group_entity_hidden_layer_2,0.9449444444444446,0.0270911811991547,0.885,0.029533408577782257,0.8836340118176741,0.02943721235948903
3,group_entity_hidden_layer_3,0.9550555555555554,0.009301864939786242,0.8899999999999999,0.02068278940998474,0.8879763240697679,0.021825744805236722
4,group_entity_hidden_layer_4,0.9578333333333333,0.004991968858718967,0.9083333333333334,0.017480147469502518,0.9088906320781485,0.01831885905388148
5,group_entity_hidden_layer_5,0.9586111111111112,0.01354803981083793,0.9166666666666666,0.015811388300841875,0.9154994027347814,0.018717568641009343
6,group_entity_hidden_layer_6,0.9784444444444444,0.010584171736986557,0.9283333333333331,0.026140645235596886,0.9280082749899108,0.026348246897602085
7,group_entity_hidden_layer_7,0.9921111111111112,0.004247729967470036,0.96,0.017795130420052208,0.9599101777898028,0.01793220254908848
8,group_entity_hidden_layer_8,0.9973888888888889,0.0016063146994223236,0.975,0.011785113019775782,0.974927633471094,0.011790999699162774
9,group_entity_hidden_layer_9,0.9984999999999999,0.0011732617823301675,0.9800000000000001,0.010000000000000016,0.9799971984871831,0.010144571519220411
10,group_entity_hidden_layer_10,0.9982777777777778,0.0012595315609727302,0.9833333333333332,0.009128709291752777,0.9834706227701757,0.009053677710607028
11,group_entity_hidden_layer_11,0.9995,0.0004082482904638422,0.985,0.0062360956446232615,0.9850957356252351,0.006155764668946753
12,group_entity_hidden_layer_12,0.9993888888888888,0.0005386310952684804,0.985,0.006236095644623261,0.9850957356252351,0.006155764668946753
13,group_entity_hidden_layer_13,0.9995,0.0008678055195451874,0.9883333333333333,0.008498365855987991,0.9884022038567494,0.008444503558852403
14,group_entity_hidden_layer_14,0.9994444444444444,0.000978156492314366,0.9883333333333333,0.010000000000000016,0.9885099293615888,0.009811198907899239
15,group_entity_hidden_layer_15,0.9997222222222222,0.0004303314829119165,0.9949999999999999,0.006666666666666682,0.9950406392065023,0.0065785278827172455
16,group_entity_hidden_layer_16,0.9997222222222222,0.0004303314829119165,0.9916666666666668,0.007453559924999322,0.99168044077135,0.007453610833642658
17,group_entity_hidden_layer_17,0.9997777777777778,0.0003239417719358588,0.9933333333333334,0.0062360956446232485,0.9933331018357757,0.006236312204187132
18,group_entity_hidden_layer_18,0.9998888888888888,0.0001360827634879756,0.9933333333333334,0.0062360956446232485,0.9933331018357757,0.006236312204187132
19,group_entity_hidden_layer_19,0.9998333333333334,0.0002222222222222181,0.9916666666666668,0.007453559924999322,0.99168044077135,0.007453610833642658
20,group_entity_hidden_layer_20,0.9997222222222222,0.0002484519974999658,0.99,0.006236095644623261,0.9900275482093666,0.0062435450354107955
21,group_entity_hidden_layer_21,0.9997777777777778,0.00027216552697592405,0.9916666666666668,0.005270462766947316,0.9917079889807162,0.005270570759750493
22,group_entity_hidden_layer_22,0.9995555555555555,0.000623609564462334,0.9883333333333333,0.0040824829046386705,0.9884293004561261,0.004050218160698539
23,group_entity_hidden_layer_23,0.999111111111111,0.001030402055055067,0.9800000000000001,0.015456030825826163,0.9804320799006444,0.014997332519571157
24,group_entity_hidden_layer_24,0.9984444444444444,0.0015966786514666673,0.9733333333333333,0.009718253158075467,0.9738771158203384,0.009463444652324477
