index,label,label_name,prompt,entropy,top1_prob,margin,score_entropy,score_neg_top1_prob,score_neg_margin
0,0,known,"请回答下面查询。
对象：Smalltalk
属性：主要设计者
答案：",6.016172409057617,0.02928054705262184,0.00022786296904087067,6.016172409057617,-0.02928054705262184,-0.00022786296904087067
1,1,unknown,"请回答下面查询。
对象：唐古拉山主峰
属性：主要设计者
答案：",5.857110500335693,0.09469997137784958,0.0655915904790163,5.857110500335693,-0.09469997137784958,-0.0655915904790163
2,0,known,"请回答下面查询。
对象：电流
属性：国际单位
答案：",0.6612914204597473,0.8644846677780151,0.8008754402399063,0.6612914204597473,-0.8644846677780151,-0.8008754402399063
3,0,known,"请回答下面查询。
对象：功率
属性：国际单位
答案：",1.4560779333114624,0.7371777296066284,0.6766664944589138,1.4560779333114624,-0.7371777296066284,-0.6766664944589138
4,1,unknown,"请回答下面查询。
对象：氧
属性：主要流经大洲
答案：",2.214630603790283,0.2502600848674774,0.029406338930130005,2.214630603790283,-0.2502600848674774,-0.029406338930130005
5,1,unknown,"请回答下面查询。
对象：放射性活度
属性：出生国家
答案：",4.028388977050781,0.16585347056388855,0.08245710283517838,4.028388977050781,-0.16585347056388855,-0.08245710283517838
6,0,known,"请回答下面查询。
对象：甲烷
属性：化学式
答案：",1.032187819480896,0.768020749092102,0.6386649459600449,1.032187819480896,-0.768020749092102,-0.6386649459600449
7,0,known,"请回答下面查询。
对象：联合国儿童基金会
属性：总部所在地
答案：",2.581653594970703,0.37319281697273254,0.08254995942115784,2.581653594970703,-0.37319281697273254,-0.08254995942115784
8,0,known,"请回答下面查询。
对象：体积
属性：国际单位
答案：",2.500178813934326,0.38858771324157715,0.1901165097951889,2.500178813934326,-0.38858771324157715,-0.1901165097951889
9,0,known,"请回答下面查询。
对象：氯
属性：化学符号
答案：",1.4434069395065308,0.5954445004463196,0.3797887861728668,1.4434069395065308,-0.5954445004463196,-0.3797887861728668
10,0,known,"请回答下面查询。
对象：《变形记》
属性：作者
答案：",4.929145336151123,0.08365866541862488,0.030895806849002838,4.929145336151123,-0.08365866541862488,-0.030895806849002838
11,1,unknown,"请回答下面查询。
对象：印度河
属性：化学符号
答案：",2.486328601837158,0.569279670715332,0.4985804706811905,2.486328601837158,-0.569279670715332,-0.4985804706811905
12,1,unknown,"请回答下面查询。
对象：干城章嘉峰
属性：主要设计者
答案：",6.1545538902282715,0.07517500221729279,0.04664178751409054,6.1545538902282715,-0.07517500221729279,-0.04664178751409054
13,0,known,"请回答下面查询。
对象：Python
属性：主要设计者
答案：",4.877869606018066,0.2730081081390381,0.2171081304550171,4.877869606018066,-0.2730081081390381,-0.2171081304550171
14,1,unknown,"请回答下面查询。
对象：世界自然基金会
属性：化学式
答案：",3.665839672088623,0.3356720507144928,0.2340945452451706,3.665839672088623,-0.3356720507144928,-0.2340945452451706
15,0,known,"请回答下面查询。
对象：联合国教科文组织
属性：总部所在地
答案：",3.1341192722320557,0.24590040743350983,0.07951585948467255,3.1341192722320557,-0.24590040743350983,-0.07951585948467255
16,1,unknown,"请回答下面查询。
对象：速度
属性：出生国家
答案：",3.829590320587158,0.14115171134471893,0.010607719421386719,3.829590320587158,-0.14115171134471893,-0.010607719421386719
17,0,known,"请回答下面查询。
对象：门捷列夫
属性：出生国家
答案：",1.6249001026153564,0.4226309359073639,0.17803090810775757,1.6249001026153564,-0.4226309359073639,-0.17803090810775757
18,0,known,"请回答下面查询。
对象：珠穆朗玛峰
属性：所在山脉
答案：",0.5857529640197754,0.9048655033111572,0.8882923126220703,0.5857529640197754,-0.9048655033111572,-0.8882923126220703
19,0,known,"请回答下面查询。
对象：铅
属性：化学符号
答案：",0.2736731767654419,0.9473190903663635,0.9050413407385349,0.2736731767654419,-0.9473190903663635,-0.9050413407385349
20,1,unknown,"请回答下面查询。
对象：维苏威火山
属性：主要设计者
答案：",5.44707727432251,0.05259985476732254,0.012270145118236542,5.44707727432251,-0.05259985476732254,-0.012270145118236542
